,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,trial_num,final_decision,average_speed,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4,x_5,y_5,x_6,y_6,x_7,y_7,x_8,y_8,x_9,y_9,x_10,y_10,x_11,y_11,x_12,y_12,x_13,y_13
296,108.8227309,103.857767,86.6358953,39.34461852,95.89203469,83.17062559,22.8325543,35.65919585,83.19110087,38.06414394,75.30006843,39.70950024,397,Rej,65.49488666,291.9532583,73.54767844,293.2409816,70.15651693,294.1646745,66.8200937,294.5474775,63.95771434,294.6347293,62.64913266,294.6357019,59.45273166,294.5743945,56.68105542,294.2529579,55.99117929,293.5188564,55.05632119,292.6631791,52.41860457,292.481241,51.16291188,292.719801,48.66427212,292.5196218,47.35584649
481,76.46663,84.82210705,89.66251556,82.24773962,68.05535772,61.79508021,52.47381535,52.18850455,51.60375819,56.15981404,53.61243398,57.89657445,639,Rej,65.54054558,295.2319021,73.30496018,295.303243,70.75707109,295.4600008,67.93401637,295.5106033,64.94569426,295.4818063,62.20425418,295.5777752,59.93777314,295.7840509,57.88829156,295.9861582,56.15088012,296.1392212,54.41801014,296.2405809,52.70087381,296.2544432,50.82893134,296.331609,49.04351698,296.428425,47.11606117
324,72.24537687,67.37909536,77.22325495,86.98223235,85.0007003,68.12967499,61.53892216,58.73158797,60.55998986,64.09114357,71.92921038,72.47470341,435,Rej,68.92745339,284.9532915,74.65587733,283.5512461,72.69792027,282.7052621,70.61736948,282.2725269,68.07989538,281.5338372,65.27616521,280.3391779,62.70698263,279.6887886,60.53111831,279.4878738,58.48968393,279.3685525,56.53560398,279.3374524,54.51717724,279.4690861,52.38486499,279.6578946,49.99467031,279.7488519,47.58055977
293,112.9293584,117.3424431,122.0272426,121.255809,108.6923579,87.25134095,78.42386193,65.06350961,54.62357068,48.43012847,34.4842505,34.32939275,392,Rej,79.88186834,290.1842707,78.66195894,290.0244368,74.90104182,290.2976344,70.99917963,290.5952539,66.94250771,290.7068818,62.90218917,290.9555665,59.2876554,291.9495697,56.55441179,293.7098647,54.62178915,294.9124989,52.81699175,295.5455087,51.10978377,295.8068069,49.5167335,295.8318107,48.36753046,295.9055626,47.22559653
48,107.8598765,101.3062946,97.42470591,97.21868496,104.4257424,99.80794206,88.55318276,76.33419612,66.19001982,67.83698293,75.99223955,83.71796033,79,Acc,88.33162765,297.1056239,83.22663249,298.1641091,79.79064629,298.9112482,76.49745969,299.3688972,73.28237805,299.8910138,70.08409247,300.8301092,66.73230597,302.066221,63.64353595,302.809463,60.78686767,303.0214823,58.25124315,303.0447176,56.0450315,303.3212446,53.80077073,304.1611015,51.41097835,305.2701929,48.85024461
479,124.4583788,121.8482388,181.8334774,115.9887758,45.35268839,111.5016162,106.1891088,95.79996954,79.9364751,30.87162362,28.39375341,81.42990879,635,Rej,92.04404943,295.2270561,83.32110976,295.0871525,79.17485679,294.9139716,75.1169426,294.6779484,69.06042386,294.5293491,65.19698807,294.7035132,63.69529771,295.1849128,60.00988513,295.7105314,56.50949159,296.031809,53.33236206,295.9964728,50.66804721,295.5565793,49.73775365,294.8908235,49.0650332,293.9303068,46.52633341
92,124.6913868,121.6425558,115.2749163,104.4988732,88.98677419,82.08906722,93.21827426,94.46917039,84.80787494,73.87875628,74.30911416,73.91815449,127,Rej,93.09761969,285.8781079,84.4346143,286.0752686,80.2829136,286.2928859,76.23400568,286.3435286,72.39184222,286.3775462,68.90871255,286.684322,65.95839323,287.4909796,63.34369373,288.7657895,60.50996424,289.7918595,57.53285033,290.4443245,54.78224714,290.7178321,52.33485741,290.6801176,49.85817407,290.1819946,47.44511247
702,113.1089475,126.8385601,151.6005461,137.9308714,124.9628539,111.2808765,81.05184492,40.59184637,41.1022095,63.02642,61.01508967,84.34874831,909,Acc,93.3514376,295.6086187,82.764642,295.56971,78.99454452,295.8854345,74.77839744,296.7207753,69.79456685,297.8914691,65.34841322,298.6659152,61.25561131,298.9816051,57.55970676,299.1854357,54.86567853,299.6537157,53.596234,300.5455146,52.55613948,301.7202046,50.81435792,302.4097275,48.90097132,302.7085566,46.10527177
289,147.2218646,142.1881554,146.8717257,137.4998948,127.1163786,122.4493605,94.35810623,67.3822513,55.20932386,50.7520662,64.71439392,81.25934161,382,quit,100.6648892,289.0746561,86.54952273,289.3987891,81.65284342,289.5283673,76.91500987,289.8202149,72.02799234,290.4061758,67.48227324,291.5810143,63.41118921,293.5125525,59.81549884,294.4946845,56.82749927,295.0057266,54.64033467,295.3125163,52.82577579,295.6797426,51.1743782,296.7841339,49.32138045,298.7564816,47.46487814
22,106.808017,106.0591187,101.5615769,92.85599203,86.00406956,88.92282598,91.96941814,85.97889065,84.8218887,110.8275521,135.3854186,130.4059908,33,Acc,100.752514,289.4612004,89.15815925,289.439785,85.59795643,289.651498,82.06899742,290.2729618,78.74114219,291.358822,75.84266515,292.6719111,73.29426322,293.5978154,70.47849412,293.9679141,67.43526883,293.9880145,64.5693763,293.9510458,61.74222171,294.1166833,58.05168514,294.6112823,53.56602327,295.5198418,49.31516843
